;center_point;envelope
72;POINT (-38.57498999999785 -6.612539999998746);POLYGON ((-38.59998999999786 -6.637539999998747, -38.59998999999786 -6.587539999998747, -38.54998999999786 -6.587539999998747, -38.54998999999786 -6.637539999998747, -38.59998999999786 -6.637539999998747))
73;POINT (-38.57498999999785 -6.562539999998746);POLYGON ((-38.59998999999786 -6.587539999998747, -38.59998999999786 -6.537539999998746, -38.54998999999786 -6.537539999998746, -38.54998999999786 -6.587539999998747, -38.59998999999786 -6.587539999998747))
74;POINT (-38.57381353215253 -6.513684294412135);POLYGON ((-38.59998999999786 -6.503993088913182, -38.59461999999803 -6.50003999999899, -38.5844678835958 -6.487539999998745, -38.54998999999786 -6.487539999998745, -38.54998999999786 -6.537539999998746, -38.59998999999786 -6.537539999998746, -38.59998999999786 -6.503993088913182))
75;POINT (-38.5613023653981 -6.468785611188888);POLYGON ((-38.5844678835958 -6.487539999998745, -38.57005999999819 -6.469799999998941, -38.5694599999988 -6.454479999998512, -38.56529999999839 -6.451109999998152, -38.55604999999923 -6.447239999997691, -38.55513075024485 -6.437539999998744, -38.54998999999786 -6.437539999998744, -38.54998999999786 -6.487539999998745, -38.5844678835958 -6.487539999998745))
76;POINT (-38.57139247541729 -6.395711925914781);MULTIPOLYGON (((-38.55513075024485 -6.437539999998744, -38.55508999999802 -6.437109999998938, -38.55390999999872 -6.43235999999888, -38.54998999999786 -6.428976282350958, -38.54998999999786 -6.437539999998744, -38.55513075024485 -6.437539999998744)), ((-38.54998999999786 -6.398280306468051, -38.55116999999882 -6.397769999997763, -38.5730599999988 -6.403399999999237, -38.57736999999906 -6.402489999998579, -38.58199999999852 -6.399909999998272, -38.58118999999897 -6.396329999997761, -38.58895999999913 -6.395179999997708, -38.59377999999924 -6.396459999998115, -38.59998999999786 -6.390776005055938, -38.59998999999786 -6.388489718308652, -38.5977791803268 -6.387539999998744, -38.54998999999786 -6.387539999998744, -38.54998999999786 -6.398280306468051)))
77;POINT (-38.56690217547711 -6.374476534211872);POLYGON ((-38.5977791803268 -6.387539999998744, -38.59458999999879 -6.386169999997946, -38.59210999999777 -6.377849999998944, -38.58260999999766 -6.373649999997724, -38.57275 -6.374519999999393, -38.57571999999891 -6.36229, -38.5669999999991 -6.361129999999321, -38.56490999999914 -6.356299999997646, -38.56295999999929 -6.3556299999982, -38.54998999999786 -6.354016745204269, -38.54998999999786 -6.387539999998744, -38.5977791803268 -6.387539999998744))
78;POINT (-38.52576633512727 -7.744312071405915);POLYGON ((-38.49998999999787 -7.749488247627188, -38.51624999999876 -7.748919999998179, -38.52932999999939 -7.754699999997683, -38.54583999999886 -7.749039999998786, -38.54998999999786 -7.751314461978273, -38.54998999999786 -7.737539999998763, -38.49998999999787 -7.737539999998763, -38.49998999999787 -7.749488247627188))
79;POINT (-38.52498999999786 -7.712539999998763);POLYGON ((-38.54998999999786 -7.737539999998763, -38.54998999999786 -7.687539999998762, -38.49998999999787 -7.687539999998762, -38.49998999999787 -7.737539999998763, -38.54998999999786 -7.737539999998763))
80;POINT (-38.52498999999786 -7.662539999998763);POLYGON ((-38.54998999999786 -7.687539999998762, -38.54998999999786 -7.637539999998761, -38.49998999999787 -7.637539999998761, -38.49998999999787 -7.687539999998762, -38.54998999999786 -7.687539999998762))
81;POINT (-38.52498999999786 -7.612539999998762);POLYGON ((-38.54998999999786 -7.637539999998761, -38.54998999999786 -7.587539999998761, -38.49998999999787 -7.587539999998761, -38.49998999999787 -7.637539999998761, -38.54998999999786 -7.637539999998761))
